problem,dim,seed,init_method,opt_method,best_target,best_eval,best_n_iter,best_delta,init_time,opt_time
bbob_f001_i01_d02,2,3,oblesa_sobol,pso,79.48,79.48000003139887,48,3.139886928238411e-08,0.0,0.06325674057006836
bbob_f001_i01_d02,2,3,oblesa_sobol,gwo,79.48,79.48000008458047,80,8.45804635218883e-08,0.0,0.20998120307922363
bbob_f001_i01_d02,2,3,oblesa_sobol,egwo,79.48,79.48000001105767,19,1.1057665005864692e-08,0.0,0.018624544143676758
bbob_f001_i02_d02,2,3,random,ga,394.48,443.73720092575206,100,49.257200925752045,0.01001119613647461,0.3320479393005371
bbob_f001_i02_d02,2,3,random,de,394.48,438.54255821575896,100,44.06255821575894,0.01001119613647461,0.14379000663757324
bbob_f001_i02_d02,2,3,random,pso,394.48,423.5290966909018,100,29.049096690901763,0.01001119613647461,0.12750864028930664
bbob_f001_i02_d02,2,3,random,gwo,394.48,394.48000004782887,98,4.7828848437347915e-08,0.01001119613647461,0.25421881675720215
bbob_f001_i02_d02,2,3,random,egwo,394.48,443.73720092575206,100,49.257200925752045,0.01001119613647461,0.10534119606018066
bbob_f001_i02_d02,2,3,lhs,ga,394.48,395.26491740273474,100,0.7849174027347203,0.2587852478027344,0.33443641662597656
bbob_f001_i02_d02,2,3,lhs,de,394.48,394.483009132219,100,0.0030091322190060055,0.2587852478027344,0.1591176986694336
bbob_f001_i02_d02,2,3,lhs,pso,394.48,394.4800000052431,48,5.243066425464349e-09,0.2587852478027344,0.06296682357788086
bbob_f001_i02_d02,2,3,lhs,gwo,394.48,394.4800000371627,80,3.716269247888704e-08,0.2587852478027344,0.19578766822814941
bbob_f001_i02_d02,2,3,lhs,egwo,394.48,394.4800000115574,18,1.1557403922779486e-08,0.2587852478027344,0.011558294296264648
bbob_f001_i02_d02,2,3,sobol,ga,394.48,394.93544270185913,100,0.45544270185911273,0.0,0.34929966926574707
bbob_f001_i02_d02,2,3,sobol,de,394.48,394.48133651137175,100,0.0013365113717327404,0.0,0.15060997009277344
bbob_f001_i02_d02,2,3,sobol,pso,394.48,394.48000000386816,45,3.868137810059125e-09,0.0,0.053626060485839844
bbob_f001_i02_d02,2,3,sobol,gwo,394.48,394.4800000648982,88,6.489818815680337e-08,0.0,0.23629450798034668
bbob_f001_i02_d02,2,3,sobol,egwo,394.48,394.48000006434296,19,6.4342941641371e-08,0.0,0.01969599723815918
bbob_f001_i02_d02,2,3,obl,ga,394.48,408.0842208477561,100,13.604220847756096,0.0,0.35002923011779785
bbob_f001_i02_d02,2,3,obl,de,394.48,395.6935270865301,100,1.213527086530064,0.0,0.14423871040344238
bbob_f001_i02_d02,2,3,obl,pso,394.48,399.7917711987538,100,5.311771198753775,0.0,0.1205129623413086
bbob_f001_i02_d02,2,3,obl,gwo,394.48,394.4800007391761,100,7.39176073238923e-07,0.0,0.2440650463104248
bbob_f001_i02_d02,2,3,obl,egwo,394.48,408.0842208477561,100,13.604220847756096,0.0,0.11087608337402344
bbob_f001_i02_d02,2,3,oblesa_ess,ga,394.48,394.48092419106126,100,0.0009241910612445281,0.8487265110015869,0.36378026008605957
bbob_f001_i02_d02,2,3,oblesa_ess,de,394.48,394.4803599646778,100,0.00035996467778431906,0.8487265110015869,0.15035438537597656
bbob_f001_i02_d02,2,3,oblesa_ess,pso,394.48,394.4800000741457,42,7.414570291075506e-08,0.8487265110015869,0.04993629455566406
bbob_f001_i02_d02,2,3,oblesa_ess,gwo,394.48,394.48000004677596,72,4.677593778978917e-08,0.8487265110015869,0.2028512954711914
