problem,dim,seed,init_method,opt_method,best_target,best_eval,best_n_iter,best_delta,init_time,opt_time
bbob_f007_i01_d02,2,3,random,egwo,92.94,164.85485886863648,1000,71.91485886863649,0.006264686584472656,1.1227636337280273
bbob_f007_i01_d02,2,3,lhs,ga,92.94,92.9765560090238,1000,0.03655600902379774,0.2606518268585205,3.7476346492767334
bbob_f007_i01_d02,2,3,lhs,de,92.94,92.94000004342018,307,4.342018655734137e-08,0.2606518268585205,0.5143189430236816
bbob_f007_i01_d02,2,3,lhs,pso,92.94,92.94000004535495,14,4.5354951794251974e-08,0.2606518268585205,0.015917062759399414
bbob_f007_i01_d02,2,3,lhs,gwo,92.94,92.94000005777775,10,5.7777754136623116e-08,0.2606518268585205,0.025316238403320312
bbob_f007_i01_d02,2,3,lhs,egwo,92.94,92.94000003556786,15,3.556786509761878e-08,0.2606518268585205,0.017327308654785156
bbob_f007_i01_d02,2,3,sobol,ga,92.94,92.94000003939897,7,3.9398969420290086e-08,0.0,0.024370431900024414
bbob_f007_i01_d02,2,3,sobol,de,92.94,92.94000006710436,752,6.710436650791962e-08,0.0,1.117353916168213
bbob_f007_i01_d02,2,3,sobol,pso,92.94,92.94000001017488,12,1.0174886710956343e-08,0.0,0.01420903205871582
bbob_f007_i01_d02,2,3,sobol,gwo,92.94,92.94000004959247,20,4.9592472350923344e-08,0.0,0.05029129981994629
bbob_f007_i01_d02,2,3,sobol,egwo,92.94,92.9400000591574,9,5.915740075579379e-08,0.0,0.010550737380981445
bbob_f007_i01_d02,2,3,obl,ga,92.94,164.85485886863648,1000,71.91485886863649,0.007019519805908203,3.3200881481170654
bbob_f007_i01_d02,2,3,obl,de,92.94,92.94000007976334,37,7.97633390448027e-08,0.007019519805908203,0.061223745346069336
bbob_f007_i01_d02,2,3,obl,pso,92.94,111.55770498623173,1000,18.61770498623173,0.007019519805908203,1.173586368560791
